id,original,emendation,old_type1,old_type2,primary_category,secondary_category,changed_original_tokens,changed_emended_tokens,,needs_manual_review,notes
61,Ἐπεὶ δέ σοι καὶ τὸ καθ' ἡμᾶς εὐδοκίμηται καὶ βούλει σου τὴν μακαρίαν ψυχὴν καὶ τῷ τῶν ἡμετέρων λόγῳ κεχρῶσθαι χρώματι ταμιεύσομαί σοι ταυτηνὶ τὴν γλῶτταν ἣν ἐν τοῖς λόγοις ὁρᾷς ἐν ταῖς τῶν καθ' ἡμᾶς ἱστορίαις πραγμάτων οὐ τοῦτο μὲν ὑποθέμενος ἐκπλήξας δὲ τῇ καινοτομίᾳ τῆς εἰσβολῆς ὥσπερ ἐν τοῖς δράμασι ἐποίουν οἱ σχηματιζόμενοι τὸν Ἀπόλλω καὶ τομὴν ἐμποιήσω τῷ λόγῳ,Ἐπεὶ δέ σοι καὶ τὸ καθ' ἡμᾶς εὐδοκίμηται καὶ βούλει σου τὴν μακαρίαν ψυχὴν καὶ τῷ τῶν ἡμετέρων λόγων κεχρῶσθαι χρώματι ταμιεύσομαί σοι ταυτηνὶ τὴν γλῶτταν ἣν ἐν τοῖς λόγοις ὁρᾷς ἐν ταῖς τῶν καθ' ἡμᾶς ἱστορίαις πραγμάτων οὐ τοῦτο μὲν ὑποθέμενος ἐκπλήξας δὲ τῇ καινοτομίᾳ τῆς εἰσβολῆς ὥσπερ ἐν τοῖς δράμασι ἐποίουν οἱ σχηματιζόμενοι τὸν Ἀπόλλω καὶ τομὴν ἐμποιήσω τῷ λόγῳ,change,,Morphological,,λόγῳ,λόγων,,no,
62,Εἰσάξω δέ σε οὐ κατ' ἄνδρα οὐδ' ὡς σήμερον ἔχεις ἀλλά σοι τοὺς φωστῆρας προσεισαγαγών ἐκεῖθεν τέ σου τὴν γένεσιν ποιησάμενος οὕτω σε θεωρήσω ἀφ' οὗ προσῆλθεν ἐφ' ὃ παραγέγονας πάντα σοι τελέως ἀπακριβούμενος τὸν λόγον τὸ ἦθος τὴν πάντα δυνηθεῖσαν φύσιν τὴν πρὸς τὸ προκείμενον κατάλληλον πλάσιν καὶ τἆλλα ὁπόσα σύ τε ἔχεις καὶ ὁ λόγος δεδύνηται.,Εἰσάξω δέ σε οὐ κατ' ἄνδρα οὐδ' ὡς σήμερον ἔχεις ἀλλά σοι τοὺς φωστῆρας προεισαγαγών ἐκεῖθεν τέ σου τὴν γένεσιν ποιησάμενος οὕτω σε θεωρήσω ἀφ' οὗ προσῆλθες ἐφ' ὃ παραγέγονας πάντα σοι τελέως ἀπακριβούμενος τὸν λόγον τὸ ἦθος τὴν πάντα δυνηθεῖσαν φύσιν τὴν πρὸς τὸ προκείμενον κατάλληλον πλάσιν καὶ τἆλλα ὁπόσα σύ τε ἔχεις καὶ ὁ λόγος δεδύνηται.,change,,Morphological,,προσεισαγαγών | προσῆλθεν,προεισαγαγών | προσῆλθες,,no,
63,Μὴ τοίνυν δι' ἡμᾶς τοῦ αἰθέρος σεαυτὸν καταβίβαζε ἀλλὰ πρὸς τὸ σὸν ὕψος τοὺς χαμαιπετεῖς ἄναγε. Μὴ συγκλῶ ταῖς ἡμετέραις στροφαῖς ἀλλ' ἀδιαστρόφους ἡμᾶς τῇ σῇ εὐθύτητι ἐργαζόμενος,Μὴ τοίνυν δι' ἡμᾶς τοῦ αἰθέρος σεαυτὸν καταβίβαζε ἀλλὰ πρὸς τὸ σὸν ὕψος τοὺς χαμαιπετεῖς ἄναγε μὴ συγκυκλούμενος ταῖς ἡμετέραις στροφαῖς ἀλλ' ἀδιαστρόφους ἡμᾶς τῇ σῇ εὐθύτητι ἐργαζόμενος,change,,Morphological,,ἄναγε. | Μὴ | συγκλῶ,ἄναγε | μὴ | συγκυκλούμενος,,no,
64,εἰ δὲ αὐχμώδης καὶ οὐ διολισθαίνουσα λείως εἰς τὴν ψυχήν ἔστω δὴ καὶ τοῦτο ἀτύχημα τῷ ἀνδρὶ ὅτι οὕτως αὐτῷ ἡ γένεσις τεθεμάτισται μήτε ἐμὲ λέγειν περὶ τούτου θελκτήρια μήτε ἡδέως τὰ λεγόμενα δέχεσθαι.,εἰ δὲ αὐχμώδης καὶ οὐ διολισθαίνουσα λείως εἰς τὴν ψυχήν ἔστω δὴ καὶ τοῦτο ἀτύχημα τῷ ἀνδρὶ ὅτι οὕτως αὐτῷ ἡ γένεσις τεθεμάτισται μήτε ἐμὲ λέγειν περὶ τούτου θελκτήρια μήτε σὲ ἡδέως τὰ λεγόμενα δέχεσθαι.,add,,Addition / Omission,,,σὲ,,no,
65,Ἐγὼ δέ σοι πάντως ἀπόλωλα τὸ μὲν διαιρεθείς σοι τῆς συμφυοῦς καὶ συμπνόου ψυχῆς τὸ δὲ ὡς διῃρημένος,Ἐγὼ δέ σοι πάντως ἀπόλωλα τὸ μὲν διαιρεθείς σου τῆς συμφυοῦς καὶ συμπνόου ψυχῆς τὸ δὲ ὡς διῃρημένος,change,,Morphological,,σοι,σου,,no,
66,καὶ γέγονέ σοι ἀνάβασις ἡ κατάβασις καὶ συνέσφιγξε δή σε καὶ οἷά τισι πείσμασι ταῖς τῶν ὀδυνώντων περιπλοκαῖς ἵν' ὥσπερ οἱ πυρρῆνες διὰ τοῦ τῶν δακτύλων πιέσματος πρὸς οὐρανὸν ἀφεθείς οἷα δή βέλος ἐντέχνου τοξότου χειρὶ πρὸς τὸν ἄνω σκοπὸν ἀποτοξευθείῇς.,καὶ γέγονέ σοι ἀνάβασις ἡ κατάβασις καὶ συνέσφιγξε δή σε καὶ οἷά τισι πιέσμασι ταῖς τῶν ὀδυνώντων περιπλοκαῖς ἵν' ὥσπερ οἱ πυρρῆνες διὰ τοῦ τῶν δακτύλων πιέσματος πρὸς οὐρανὸν ἀφεθῇς οἷα δή βέλος ἐντέχνου τοξότου χειρὶ πρὸς τὸν ἄνω σκοπὸν ἀποτοξευθῇς.,change,,Phonological-Orthographic,Morphological,πείσμασι | ἀφεθείς | ἀποτοξευθείῇς.,πιέσμασι | ἀφεθῇς | ἀποτοξευθῇς.,,no,
67,Εἰ δέ σοι τοσοῦτον τὸ περιὸν τοῦ πρὸς θεὸν θάρρους ὡς οἴεσθαι παντάπασιν ἀμεσίτευτον τὸ παραγενέσθαι σοι τὸ ἀγαθόν κρεῖττον τοῦτο τῶν ἐμῶν λογισμῶν.,Εἰ δέ σοι τοσοῦτον τὸ περιὸν τοῦ πρὸς θεὸν θάρρους ὡς οἴεσθαι παντάπασιν ἀμεσίτευτον παραγενέσθαι σοι τὸ ἀγαθόν κρεῖττον τοῦτο τῶν ἐμῶν λογισμῶν.,delete,,Addition / Omission,,τὸ,,,no,
68,κἀκεῖνο μὲν ἀποκληρωτέον τοῖς ἀχάλκοις καὶ μονοχίτωσι τῷ δέ γε καθ' ἡμᾶς βίῳ ἡ τῆς σοφιστικῆς ἀπόχρη δύναμις ἐπ' ἄμφω βάλλουσα καὶ διπάλτῳ χειρί τῇ μὲν ὠθοῦσα τῇ δὲ προσιεμένη τὰ προσαγόμενα ἵν' οὕτως μὲν τὸν τοῦ δικαίου τις λόγον πληροῖ ἐκείνῳ δὲ ἵνα τὸ αὐτὸ φθέγξωμαι πληροῖ τὸ βαλάντιον ἡμῶν.,κἀκεῖνο μὲν ἀποκληρωτέον τοῖς ἀχάλκοις καὶ μονοχίτωσι τῷ δέ γε καθ' ἡμᾶς βίῳ ἡ τῆς σοφιστικῆς ἀπόχρη δύναμις ἐπ' ἄμφω βάλλουσα καὶ διπάλτῳ χειρί τῇ μὲν ὠθοῦσα τῇ δὲ προσιεμένη τὰ προσαγόμενα ἵν' οὕτως μὲν τὸν τοῦ δικαίου τις λόγον πληροῖ ἐκείνως δὲ ἵνα τὸ αὐτὸ φθέγξωμαι πληροῖ τὸ βαλάντιον ἡμῶν.,change,,Morphological,,ἐκείνῳ,ἐκείνως,,no,
69,Εἰ μὲν γὰρ πρὸς τὸ ἀστρολογεῖν διαβέβλησαι ὅτι δὴ τὰς ἡμετέρας προαιρέσεις οἱ περὶ τοῦτο ἐσπουδακότες τῶν ἄστρων φορᾶς ἐξαρτῶσι κἀγώ σοι τῷ βουλήματι τίθεμαι,Εἰ μὲν γὰρ πρὸς τὸ ἀστρολογεῖν διαβέβλησαι ὅτι δὴ τὰς ἡμετέρας προαιρέσεις οἱ περὶ τοῦτο ἐσπουδακότες τῆς τῶν ἄστρων φορᾶς ἐξαρτῶσι κἀγώ σοι τῷ βουλήματι τίθεμαι,add,,Addition / Omission,,,τῆς,,no,
70,Ὡς εὐστόχως ἔφησεν ἡ παροιμία ἀνδρὸς κακῶς πράσσοντος ἐκποδὼν φίλοι νῦν γὰρ νοσοῦντας οὐ θέλουσι προσβλέπειν ἀλλ' ὥς τι μῦσος ἐκτρέπονται τὴν νόσον.,Ὡς εὐστόχως ἔφησεν ἡ παροιμία ἀνδρὸς κακῶς πράσσοντος ἐκποδὼν φίλοι νῦν γὰρ νοσοῦντας οὐ θέλουσι προσβλέπειν ἀλλ' ὥς τι μῦσος ἐκτρέπονται τὴν νόσον.,,no correction,No correction,,,,,no,
71,Ὡς χαλεπόν εἰ σὺ μὲν λέγεις ἕωθεν ἀρξάμενος καί τινα μέλους λύραν κινεῖς ἐγὼ δ' οὐκ ἔχω μὴ μέχρι καὶ ἑσπέρας βαθείας συμπαρατεῖναι ἀκούοντα.,Ὡς χαλεπόν εἰ σὺ μὲν λέγεις ἕωθεν ἀρξάμενος καί τινα μέλους λύραν κινεῖς ἐγὼ δ' ἀκούω μὴ μέχρι καὶ ἑσπέρας βαθείας συμπαρατεῖναι ἀκούοντα.,change,delete,Addition / Omission,Lexical / Contextual,οὐκ | ἔχω,ἀκούω,,no,
72,Εἰ μὲν οὖν ἐμὲ ἀποχρῶντα οἴει πρὸς ἀρετῆς κατανόησιν μηκέτι πλέον ἐξετάσεις περὶ τοῦ ἀνδρός ἀλλ' ἐμοὶ λέγοντι πίστευσον ὡς ἔστι φίλος θεῷ εἰ δ' οὖν αὐτὸς δοκίμασον καὶ εὑρήσεις ὡς οὐ διημαρτημένος ἐγὼ τῆς περὶ τούτων κρίσεως.,Εἰ μὲν οὖν ἐμὲ ἀποχρῶντα οἴει πρὸς ἀρετῆς κατανόησιν μηκέτι πλέον ἐξετάσεις περὶ τοῦ ἀνδρός ἀλλ' ἐμοὶ λέγοντι πίστευσον ὡς ἔστι φίλος θεῷ εἰ δ' οὖν αὐτὸς δοκίμασον καὶ εὑρήσεις ὡς οὐ διημαρτημένος ἐγὼ τῆς περὶ τοῦτον κρίσεως.,change,,Morphological,,τούτων,τοῦτον,,no,
73,Ἐγὼ μὲν οὖν ᾤμην ὅτι ὥσπερ οἱ Κερκυραῖοι παρὰ τὸ συμμαχικῆς ἐστερῆσθαι δυνάμεως τῶν Κορινθίων ἡττῶντο οὕτω δὴ καὶ αὐτός τῷ μόνος τὸν περὶ σοῦ ἀγῶνα θαρρεῖν καὶ μηδεμίαν συμμαχικὴν ἐπικτήσασθαι δύναμιν μὴ κατορθοῦν ὅπερ βεβούλημαι.,Ἐγὼ μὲν οὖν ᾤμην ὥσπερ οἱ Κερκυραῖοι παρὰ τὸ συμμαχικῆς ἐστερῆσθαι δυνάμεως τῶν Κορινθίων ἡττῶντο οὕτω δὴ καὶ αὐτός τῷ μόνος τὸν περὶ σοῦ ἀγῶνα θαρρεῖν καὶ μηδεμίαν συμμαχικὴν ἐπικτήσασθαι δύναμιν μὴ κατορθοῦν ὅπερ βεβούλημαι.,delete,,Addition / Omission,,ὅτι,,,no,
74,Εἰ καὶ τοιοῦτον ἦν ἐμοὶ τὸ δύνασθαι περὶ σοῦ ὥστε μὴ μόνον τὰ εὐκόλως εἰκότα συνηγορῆσαί σοι ἀλλὰ καὶ πᾶν ὁτιοῦν παθεῖν ὥστε τι ἐντεῦθεν τῶν συνοισόντων περιγενέσθαι σοι οὐκ ἂν παρῃτησάμην νὴ τὴν ἱεράν σου κεφαλήν! εἰ καὶ ὑπερορίαν κατεκρίθην ἢ τῆς χείρονος γενέσθαι χάριν σῆς ὑπολήψεως.,Εἰ καὶ τοιοῦτον ἦν ἐμοὶ τὸ δύνασθαι περὶ σοῦ ὥστε μὴ μόνον τὰ εὐκόλως εἰκότα συνηγορῆσαί σοι ἀλλὰ καὶ πᾶν ὁτιοῦν παθεῖν ὥστε τι ἐντεῦθεν τῶν συνοισόντων περιγενέσθαι σοι οὐκ ἂν παρῃτησάμην νὴ τὴν ἱεράν σου κεφαλήν! εἰ καὶ ὑπερορίαν κατεκρίθην τῆς χείρονος γενέσθαι χάριν σοῦ ὑπολήψεως.,delete,change,Addition / Omission,,ἢ | σῆς,σοῦ,,no,
75,Ἀλλ' ὅπερ ἐγὼ βαθύτερον αὐτῷ καθεώρακα τοῦτο δὴ ποιοῦ- μαί σοι ἔκφορον ὅτι σοι καὶ ταῖς τύχαις συνήλγησε καὶ τὸ χρῶμα μετήλλαξεν ὅπερ ἐν ταῖς συμπαθείαις δεικνύειν εἴωθε καὶ αὐτίκα βεβούλευται φιλανθρωπότερον περὶ σοῦ καὶ ὑπεψιθύρισέ τινι πρὸς οὖς τῶν τὰς φιλανθρωπίας πεπιστευμένων καὶ περὶ τοῦ ἀφαιρε- θέντος σοι κτήματος ἐπύθετο πολλάκις ἐμοῦ ποδαπόν τε εἴη καὶ ὅτι μάλιστα τῶν ἐν ταῖς γεωργίαις ἀφθόνων καὶ βουλόμενόν τι εἰπεῖν περὶ τούτου αὐτίκα αὖθις ἐπέσχε καὶ ἐπηγγείλατο μὲν εὐθύς τὸ δὲ τῆς εὐεργεσίας εἶδος ἐταμιεύσατο.,Ἀλλ' ὅπερ ἐγὼ βαθύτερον ἐν αὐτῷ καθεώρακα τοῦτο δὴ ποιοῦ- μαί σοι ἔκφορον ὅτι σοι καὶ ταῖς τύχαις συνήλγησε καὶ τὸ χρῶμα μετήλλαξεν ὅπερ ἐν ταῖς συμπαθείαις δεικνύειν εἴωθε καὶ αὐτίκα βεβούλευται φιλανθρωπότερον περὶ σοῦ καὶ ὑπεψιθύρισέ τινι πρὸς οὖς τῶν τὰς φιλανθρωπίας πεπιστευμένων καὶ περὶ τοῦ ἀφαιρε- θέντος σοι κτήματος ἐπύθετο πολλάκις ἐμοῦ ποδαπόν τε εἴη καὶ ὅτι μάλιστα τῶν ἐν ταῖς γεωργίαις ἀφθόνων καὶ βουλόμενόν τι εἰπεῖν περὶ τούτου αὐτίκα αὖθις ἐπέσχε καὶ ἐπηγγείλατο μὲν εὐθύς τὸ δὲ τῆς εὐεργεσίας εἶδος ἐταμιεύσατο.,add,,Addition / Omission,,,ἐν,,no,
76,Γράφω δὲ ταῦτα οὐχὶ πολυμαθεῖ σοι πεποιημένος ἐπίδειξιν ἀλλ' ὅτι μὴ πᾶς ὄφις ὀλέθριον μηδὲ παντὸς σκορπίου θανατηφόρον τὸ κέντρον.,Γράφω δὲ ταῦτα οὐχὶ πολυμαθείας σοι πεποιημένος ἐπίδειξιν ἀλλ' ὅτι μὴ πᾶς ὄφις ὀλέθριον μηδὲ παντὸς σκορπίου θανατηφόρον τὸ κέντρον.,change,,Morphological,,πολυμαθεῖ,πολυμαθείας,,no,
77,Καί τίνι τῶν λόγων ταμιεύσῃ τὰς προχοάς ἀδελφὲ φίλτατε εἰ μὴ πρὸς ἡμᾶς τὰς φλέβας τῶν σῶν ἀναστομώσεις πηγῶν καὶ εἴ γε βούλει καὶ τοσοῦτον δίδως ἡμῖν τὸ σὸν ῥεῖθρον ἐμβαλεῖς εἰς τὴν θάλασσαν,Καί τίνι τῶν λόγων ταμιεύσῃ τὰς προχοάς ἀδελφὲ φίλτατε εἰ μὴ πρὸς ἡμᾶς τὰς φλέβας τῶν σῶν ἀναστομώσεις πηγῶν καὶ εἴ γε βούλει καὶ τοσοῦτον δίδως ἡμῖν τὸ σὸν ῥεῖθρον ἐμβαλεῖς εἰς τὴν ἐμὴν θάλασσαν,add,,Addition / Omission,,,ἐμὴν,,no,
78,Σὺ μὲν ἴσως ἐρεῖς ὅτι σᾶ τὰ χρυσᾶ ἐγὼ δὲ ἀμφισβητήσω μᾶλλον δὲ ὁ ἁπλοῦν τι εἰπὼν τοῖς ὅλοις αἱρήσω εἰ γὰρ μηδέν τι τῷ λόγῳ ἀντισταθμᾶται πόσης ἂν εἶεν ὁλκῆς αἱ παρ' ἡμῶν χάριτες,Σὺ μὲν ἴσως ἐρεῖς ὅτι σᾶ τὰ χρυσᾶ ἐγὼ δὲ ἀμφισβητήσω μᾶλλον δὲ ὁ ἁπλοῦν τι εἰπὼν τοῖς ὅλοις αἱρήσω εἰ γὰρ μηδέν τι τῷ λόγῳ ἀντισταθμᾶται πόσης ἂν εἶεν ὁλκῆς αἱ παρ' ὑμῶν χάριτες,change,,Morphological,,ἡμῶν,ὑμῶν,,no,
79,Ἢν δὲ βούλῃ καὶ αὖθις τὸ σόν ἐρεῖς γὰρ ὡς τὰ τῶν παρ' ὑμῖν κάλλιστα ἢ χρυσᾶ ἢ εἰκασμένα χρυσῷ.,Ἢν δὲ βούλῃ καὶ αὖθις τὸ σόν ἐρεῖς γὰρ ὡς τὰ τῶν παρ' ἡμῖν κάλλιστα ἢ χρυσᾶ ἢ εἰκασμένα χρυσῷ.,change,,Morphological,,ὑμῖν,ἡμῖν,,no,
80,Ἄνες τὴν χεῖρα οὐδεὶς γάρ σοι προσβαλεῖ ἦχος πᾶσι γὰρ ἡμεῖς ἀκατάλληλοι οἰκονομείοις πτωχοτροφείοις τοῖς ἐκ τοῦ ταμείου τοῖς ἐκ τοῦ πρυτανείου οἱ τὰς πρώτας ἀρχὰς πάλαι παραιτησάμενοι ὦ γῆ καὶ ἥλιε! τῷ δὲ τοῦ παπᾶ Σαβίνου τριμήνῳ φεῦ! προσωρμίσαμεν οἱ τὴν Πόλιν τοῖς λόγοις κοσμήσαντες οἱ τὴν τῆς παιδεύσεως φήμην τοῖς τῆς οἰκουμένης πέρασι παραπέμψαντες οἱ μὴδ' ὁτιοῦν εἶδος παραλελοιπότες ἀσκήσεως οἱ τῇ φύσει μόνῃ διδασκάλῳ πρὸς πᾶσαν χρησάμενοι μάθησιν,Ἄνες τὴν χεῖρα οὐδεὶς γάρ σοι προσβαλεῖ ἦχος πᾶσι γὰρ ἡμεῖς ἀκατάλληλοι οἰκονομείοις πτωχοτροφείοις τοῖς ἐκ τοῦ ταμείου τοῖς ἐκ τοῦ πρυτανείου οἱ τὰς πρώτας ἀρχὰς πάλαι παραιτησάμενοι ὦ γῆ καὶ ἥλιε! τῷ τοῦ παπᾶ Σαβίνου τριμήνῳ φεῦ! προσωρμίσαμεν οἱ τὴν Πόλιν τοῖς λόγοις κοσμήσαντες οἱ τὴν τῆς παιδεύσεως φήμην τοῖς τῆς οἰκουμένης πέρασι παραπέμψαντες οἱ μὴδ' ὁτιοῦν εἶδος παραλελοιπότες ἀσκήσεως οἱ τῇ φύσει μόνῃ διδασκάλῳ πρὸς πᾶσαν χρησάμενοι μάθησιν,delete,,Addition / Omission,,δὲ,,,no,
81,βούλεται γὰρ ἵνα διαχωρίσῃς τοὺς ὅρους τῶν ἰδίων κτημάτων καὶ ὅσα μὲν αὐτοῖς προσήκει ἀποδώσῃς καὶ περιορίσῃς ὅσα δὲ τοῖς βασιλικοῖς κτήμασι πάλιν ἐκείνοις ἀποκληρώσῃς καὶ ποιήσῃς αὐτῶν τὴν δεσποτείαν ὧν κέκτηται ἄμαχον.,βούλεται γὰρ ἵνα διαχωρίσῃς τοὺς ὅρους τῶν ἰδίων κτημάτων καὶ ὅσα μὲν αὐτοῖς προσήκει ἀποδώσῃς καὶ περιορίσῃς ὅσα δὲ τοῖς βασιλικοῖς κτήμασι πάλιν ἐκείνοις ἀποκληρώσῃς καὶ ποιήσῃς αὐτῷ τὴν δεσποτείαν ὧν κέκτηται ἄμαχον.,change,,Morphological,,αὐτῶν,αὐτῷ,,no,
82,Ἀλλὰ πάλιν σοι ἐπαφῆκα τὸν χαλινὸν καὶ νεύσεις περὶ τοὺς σοὺς νόμους τούς τε ἀρχαίους καὶ τοὺς νεαροπρεπεῖς ἀλλ' ἐγὼ οὐ τοῦτο βούλομαι ἀλλ' ἵνα τι δι' ἐμὲ ἀγαθὸν τοῖς χωρίταις ἐπινοήσῃς. Αἰδέσθητι δὲ καὶ τὴν ἐπιστολὴν ὅτι εἰ καὶ μὴ ἀνθοῦσα ἀγροικικὴ γὰρ τοῖς ὀνόμασιν ἀλλὰ πολύστιχος.,Ἀλλὰ πάλιν σοι ἐπαφῆκα τὸν χαλινὸν καὶ νεύσεις πρὸς τοὺς σοὺς νόμους τούς τε ἀρχαίους καὶ τοὺς νεαροπρεπεῖς ἀλλ' ἐγὼ οὐ τοῦτο βούλομαι ἀλλ' ἵνα τι δι' ἐμὲ ἀγαθὸν τοῖς χωρίταις ἐπινοήσῃς. Αἰδέσθητι δὲ καὶ τὴν ἐπιστολὴν ὅτι εἰ καὶ μὴ ἀνθοῦσα ἀγροικικὴ γὰρ τοῖς ὀνόμασιν ἀλλὰ πολύστιχος.,change,,Lexical / Contextual,,περὶ,πρὸς,,no,
83,Τὸ μὲν γὰρ εὐχόμενος λέγω τὸ δὲ καυχώμενος ἦ γὰρ οὐ τολμήσει γλῶσσα βάσκανος ἐπὶ σέ ἢ οὐκ ἰσχύσει ἀναισχυντήσασα εἴτε γάρ τις ἐξ ἀριστερῶν ἐπιχειρήσει βαλεῖν σε αὐτὸς ἐκ δεξιῶν ἑστὼς ἀμυνοῦμαι,Τὸ μὲν γὰρ εὐχόμενος λέγω τὸ δὲ καυχώμενος ἢ γὰρ οὐ τολμήσει γλῶσσα βάσκανος ἐπὶ σέ ἢ οὐκ ἰσχύσει ἀναισχυντήσασα εἴτε γάρ τις ἐξ ἀριστερῶν ἐπιχειρήσει βαλεῖν σε αὐτὸς ἐκ δεξιῶν ἑστὼς ἀμυνοῦμαι,accent,,Diacritic / Punctuation,,ἦ,ἢ,,no,
84,Ἡ μὲν οὖν ἀξίωσις ἐπελαφρῦναι αὐτῷ τὸ ἄχθος τοῦ φορτίου εἰδὼς δὲ ὅσα μέλλεις ἐρεῖν εὔλογα πρὸς τὴν τῆς ἀξιώσεως παραίτησιν τοῦτό σοι μόνον προστίθημι ὅτι πρὸς τὴν σὴν πλατεῖαν φρόνησιν ἄπορον οὐδὲν οὐδὲ ἀδύνατον. Πλατυνεῖς δὲ αὐτὸν ἔτι καὶ τῷ μέτρῳ τῆς φιλίας ἡμῶν.,Ἡ μὲν οὖν ἀξίωσις ἐπελαφρῦναι αὐτῷ τὸ ἄχθος τοῦ φορτίου εἰδὼς δὲ ὅσα μέλλεις ἐρεῖν εὔλογα πρὸς τὴν τῆς ἀξιώσεως παραίτησιν τοῦτό σοι μόνον προστίθημι ὅτι πρὸς τὴν σὴν πλατεῖαν φρόνησιν ἄπορον οὐδὲν οὐδὲ ἀδύνατον πλατυνεῖς δὲ αὐτὴν ἔτι καὶ τῷ μέτρῳ τῆς φιλίας ἡμῶν.,punctuation,,Morphological,Diacritic / Punctuation,ἀδύνατον. | Πλατυνεῖς | αὐτὸν,ἀδύνατον | πλατυνεῖς | αὐτὴν,,no,punctuation + change marked only as punctuation
85,Κἀγὼ δὲαἰσχυντηλότατοςὢνπρὸςτοὺςἄλλουςεἰς τὰς τοιαύτας συστάσεις πρὸς σὲ μόνον οὐκ ἐρυθριῶ ὅτι με μὴ πάρεργον φιλίας πεποίησαι ἀλλά μοι τὸν τοῦ φίλτρου κρατῆρα ὅλον ἐκέρασάς τε καὶ ἐξεκένωσας οὐδὲν δὲ ἧττον καὶ σύμπνουν τῇ σῇ καθαρωτάτῃ ζωῇ.,Κἀγὼ δὲαἰσχυντηλότατοςὢνπρὸςτοὺςἄλλουςεἰς τὰς τοιαύτας συστάσεις πρὸς σὲ μόνον οὐκ ἐρυθριῶ ὅτι με μὴ πάρεργον φιλίας πεποίησαι ἀλλά μοι τὸν τοῦ φίλτρου κρατῆρα ὅλον ἐκέρασάς τε καὶ ἐξεκένωσας και με σύμπνουν πεποίησαι οὐδὲν δὲ ἧττον καὶ σύμπλουν τῇ σῇ καθαρωτάτῃ ζωῇ.,add,change,Addition / Omission,,σύμπνουν,και | με | σύμπνουν | πεποίησαι | σύμπλουν,,no,
86,Τοιοῦτός ἐστιν ὁ ἀληθὴς φίλος ἐνδοξότατε καὶ περίβλεπτε ἀδελφέ οἷος μὴ ὑπερτιθέμενος τὰς τῶν φίλων ἀξιώσεις μηδὲ βραδύνων περὶ τὴν τούτων ἐκπλήρωσιν μαρτυρεῖ γάρ σε τοῦτο ὁ τοῦ θέματος χρυσοτελής ὑπὲρ οὗ ἐγώ σε φθάσας ἱκέτευσα,Τοιοῦτός ἐστιν ὁ ἀληθὴς φίλος ἐνδοξότατε καὶ περίβλεπτε ἀδελφέ οἷος μὴ ὑπερτιθέμενος τὰς τῶν φίλων ἀξιώσεις μηδὲ βραδύνων περὶ τὴν τούτων ἐκπλήρωσιν μαρτυρεῖ γάρ σοι τοῦτο ὁ τοῦ θέματος χρυσοτελής ὑπὲρ οὗ ἐγώ σε φθάσας ἱκέτευσα,change,,Morphological,,σε,σοι,,no,
87,Τῷ Χοιροσφάκτῃ ἐκείνῳ Μιχαήλ περίβλεπτε κύριε μου υἱός ἐστιν ἐνταῦθα μετὰ μητρὸς κοσμιώτατος σεμνότατος μὲν καὶ λογιώτατος οὕπω δὲ βίου δραξάμενος εὐκλεοῦς.,Τῷ Χοιροσφάκτῃ ἐκείνῳ Μιχαήλ περίβλεπτε κύριε μου υἱός ἐστιν ἐνταῦθα μετὰ μητρὸς κοσμιωτάτης σεμνότατος μὲν καὶ λογιώτατος οὕπω δὲ βίου δραξάμενος εὐκλεοῦς.,change,,Morphological,,κοσμιώτατος,κοσμιωτάτης,,no,
88,οἱ γὰρ πρὸ μικροῦ ἐπισυμβεβηκότες μοι πόνοι οὓς καὶ αὐτὸς ἐπίστασαι ἀρχαί μοι γεγόνασι τῶν συμβεβηκότων ἀρρωστημάτων,οἱ γὰρ πρὸ μικροῦ συμβεβηκότες μοι πόνοι οὓς καὶ αὐτὸς ἐπίστασαι ἀρχαί μοι γεγόνασι τῶν ἐπισυμβεβηκότων ἀρρωστημάτων,word order,,Word Order / Transposition,,ἐπισυμβεβηκότες | συμβεβηκότων,συμβεβηκότες | ἐπισυμβεβηκότων,,no,
89,Ἐλπίδας οὖν ἐπ' ἐμοὶ ἔχε ἀγαθάς κἂν δύνωμαί τι τῷ βίῳ σὺ πρῶτος αἰσθήσῃ τῆς ἐμῆς ἰσχύος τε καὶ δυνάμεως ὁ κάλλιστος πάντων ἀνδρῶν καὶ φίλος ἀληθής τε καὶ ἀκριβής.,Ἐλπίδας οὖν ἐπ' ἐμοὶ ἔχε ἀγαθάς κἂν δύνωμαί τι τῷ βίῳ σὺ πρῶτος αἰσθήσῃ τῆς ἐμῆς ἰσχύος τε καὶ δυνάμεως ὁ πάντων ἀνδρῶν κάλλιστος καὶ φίλος ἀληθής τε καὶ ἀκριβής.,word order,,Word Order / Transposition,,κάλλιστος,κάλλιστος,,no,
90,Καὶ εἰ μὲν λόγους διδοὺς διπλασίους ἀπῄτουν φιλοσόφως ἂν τὴν εἴσπραξιν ἤνεγκα.,Καὶ εἰ μὲν λόγους διδοὺς διπλασίους ἀπῃτούμην φιλοσόφως ἂν τὴν εἴσπραξιν ἤνεγκα.,change,,Morphological,,ἀπῄτουν,ἀπῃτούμην,,no,
